macroarea,anno,decessi,sesso,mese,fascia_eta,mese_num
centro,2015,620,maschi,gennaio,50_64,1
isole,2015,387,maschi,gennaio,50_64,1
nord,2015,1373,maschi,gennaio,50_64,1
sud,2015,845,maschi,gennaio,50_64,1
centro,2016,487,maschi,gennaio,50_64,1
isole,2016,350,maschi,gennaio,50_64,1
nord,2016,1221,maschi,gennaio,50_64,1
sud,2016,688,maschi,gennaio,50_64,1
centro,2017,615,maschi,gennaio,50_64,1
isole,2017,377,maschi,gennaio,50_64,1
nord,2017,1356,maschi,gennaio,50_64,1
sud,2017,904,maschi,gennaio,50_64,1
centro,2018,599,maschi,gennaio,50_64,1
isole,2018,403,maschi,gennaio,50_64,1
nord,2018,1470,maschi,gennaio,50_64,1
sud,2018,835,maschi,gennaio,50_64,1
centro,2019,589,maschi,gennaio,50_64,1
isole,2019,386,maschi,gennaio,50_64,1
nord,2019,1279,maschi,gennaio,50_64,1
sud,2019,835,maschi,gennaio,50_64,1
centro,2020,522,maschi,gennaio,50_64,1
isole,2020,363,maschi,gennaio,50_64,1
nord,2020,1219,maschi,gennaio,50_64,1
sud,2020,771,maschi,gennaio,50_64,1
centro,2021,658,maschi,gennaio,50_64,1
isole,2021,398,maschi,gennaio,50_64,1
nord,2021,1563,maschi,gennaio,50_64,1
sud,2021,909,maschi,gennaio,50_64,1
centro,2022,627,maschi,gennaio,50_64,1
isole,2022,510,maschi,gennaio,50_64,1
nord,2022,1526,maschi,gennaio,50_64,1
sud,2022,879,maschi,gennaio,50_64,1
centro,2023,595,maschi,gennaio,50_64,1
isole,2023,410,maschi,gennaio,50_64,1
nord,2023,1366,maschi,gennaio,50_64,1
sud,2023,813,maschi,gennaio,50_64,1
centro,2024,604,maschi,gennaio,50_64,1
isole,2024,402,maschi,gennaio,50_64,1
nord,2024,1390,maschi,gennaio,50_64,1
sud,2024,839,maschi,gennaio,50_64,1
centro,2015,1886,maschi,gennaio,65_79,1
isole,2015,1083,maschi,gennaio,65_79,1
nord,2015,4519,maschi,gennaio,65_79,1
sud,2015,2292,maschi,gennaio,65_79,1
centro,2016,1657,maschi,gennaio,65_79,1
isole,2016,998,maschi,gennaio,65_79,1
nord,2016,3928,maschi,gennaio,65_79,1
sud,2016,2039,maschi,gennaio,65_79,1
centro,2017,2148,maschi,gennaio,65_79,1
isole,2017,1200,maschi,gennaio,65_79,1
nord,2017,4821,maschi,gennaio,65_79,1
sud,2017,2529,maschi,gennaio,65_79,1
centro,2018,1911,maschi,gennaio,65_79,1
isole,2018,1214,maschi,gennaio,65_79,1
nord,2018,4737,maschi,gennaio,65_79,1
sud,2018,2373,maschi,gennaio,65_79,1
centro,2019,1818,maschi,gennaio,65_79,1
isole,2019,1171,maschi,gennaio,65_79,1
nord,2019,4285,maschi,gennaio,65_79,1
sud,2019,2379,maschi,gennaio,65_79,1
centro,2020,1693,maschi,gennaio,65_79,1
isole,2020,1032,maschi,gennaio,65_79,1
nord,2020,3939,maschi,gennaio,65_79,1
sud,2020,2170,maschi,gennaio,65_79,1
centro,2021,2138,maschi,gennaio,65_79,1
isole,2021,1348,maschi,gennaio,65_79,1
nord,2021,5073,maschi,gennaio,65_79,1
sud,2021,2409,maschi,gennaio,65_79,1
centro,2022,1947,maschi,gennaio,65_79,1
isole,2022,1483,maschi,gennaio,65_79,1
nord,2022,4950,maschi,gennaio,65_79,1
sud,2022,2567,maschi,gennaio,65_79,1
centro,2023,1812,maschi,gennaio,65_79,1
isole,2023,1229,maschi,gennaio,65_79,1
nord,2023,4004,maschi,gennaio,65_79,1
sud,2023,2361,maschi,gennaio,65_79,1
centro,2024,1778,maschi,gennaio,65_79,1
isole,2024,1202,maschi,gennaio,65_79,1
nord,2024,3975,maschi,gennaio,65_79,1
sud,2024,2357,maschi,gennaio,65_79,1
centro,2015,3381,maschi,gennaio,80_plus,1
isole,2015,1681,maschi,gennaio,80_plus,1
nord,2015,7567,maschi,gennaio,80_plus,1
sud,2015,3603,maschi,gennaio,80_plus,1
centro,2016,2947,maschi,gennaio,80_plus,1
isole,2016,1600,maschi,gennaio,80_plus,1
nord,2016,6409,maschi,gennaio,80_plus,1
sud,2016,3102,maschi,gennaio,80_plus,1
centro,2017,4316,maschi,gennaio,80_plus,1
isole,2017,2088,maschi,gennaio,80_plus,1
nord,2017,9255,maschi,gennaio,80_plus,1
sud,2017,4357,maschi,gennaio,80_plus,1
centro,2018,3569,maschi,gennaio,80_plus,1
isole,2018,1898,maschi,gennaio,80_plus,1
nord,2018,8513,maschi,gennaio,80_plus,1
sud,2018,3811,maschi,gennaio,80_plus,1
centro,2019,3623,maschi,gennaio,80_plus,1
isole,2019,1982,maschi,gennaio,80_plus,1
nord,2019,7904,maschi,gennaio,80_plus,1
sud,2019,3833,maschi,gennaio,80_plus,1
centro,2020,3518,maschi,gennaio,80_plus,1
isole,2020,1808,maschi,gennaio,80_plus,1
nord,2020,7602,maschi,gennaio,80_plus,1
sud,2020,3650,maschi,gennaio,80_plus,1
centro,2021,4078,maschi,gennaio,80_plus,1
isole,2021,2107,maschi,gennaio,80_plus,1
nord,2021,9864,maschi,gennaio,80_plus,1
sud,2021,3941,maschi,gennaio,80_plus,1
centro,2022,4128,maschi,gennaio,80_plus,1
isole,2022,2419,maschi,gennaio,80_plus,1
nord,2022,9596,maschi,gennaio,80_plus,1
sud,2022,4379,maschi,gennaio,80_plus,1
centro,2023,3806,maschi,gennaio,80_plus,1
isole,2023,2122,maschi,gennaio,80_plus,1
nord,2023,8513,maschi,gennaio,80_plus,1
sud,2023,4013,maschi,gennaio,80_plus,1
centro,2024,3864,maschi,gennaio,80_plus,1
isole,2024,1964,maschi,gennaio,80_plus,1
nord,2024,8589,maschi,gennaio,80_plus,1
sud,2024,3986,maschi,gennaio,80_plus,1
centro,2015,152,femmine,gennaio,0_49,1
isole,2015,99,femmine,gennaio,0_49,1
nord,2015,344,femmine,gennaio,0_49,1
sud,2015,200,femmine,gennaio,0_49,1
centro,2016,140,femmine,gennaio,0_49,1
isole,2016,94,femmine,gennaio,0_49,1
nord,2016,255,femmine,gennaio,0_49,1
sud,2016,171,femmine,gennaio,0_49,1
centro,2017,119,femmine,gennaio,0_49,1
isole,2017,84,femmine,gennaio,0_49,1
nord,2017,248,femmine,gennaio,0_49,1
sud,2017,199,femmine,gennaio,0_49,1
centro,2018,137,femmine,gennaio,0_49,1
isole,2018,112,femmine,gennaio,0_49,1
nord,2018,343,femmine,gennaio,0_49,1
sud,2018,185,femmine,gennaio,0_49,1
centro,2019,138,femmine,gennaio,0_49,1
isole,2019,68,femmine,gennaio,0_49,1
nord,2019,241,femmine,gennaio,0_49,1
sud,2019,182,femmine,gennaio,0_49,1
centro,2020,99,femmine,gennaio,0_49,1
isole,2020,65,femmine,gennaio,0_49,1
nord,2020,240,femmine,gennaio,0_49,1
sud,2020,144,femmine,gennaio,0_49,1
centro,2021,109,femmine,gennaio,0_49,1
isole,2021,74,femmine,gennaio,0_49,1
nord,2021,254,femmine,gennaio,0_49,1
sud,2021,167,femmine,gennaio,0_49,1
centro,2022,91,femmine,gennaio,0_49,1
isole,2022,80,femmine,gennaio,0_49,1
