macroarea,maschi_0_49_gennaio,maschi_50_64_gennaio,maschi_65_79_gennaio,maschi_80_plus_gennaio,femmine_0_49_gennaio,femmine_50_64_gennaio,femmine_65_79_gennaio,femmine_80_plus_gennaio,maschi_0_49_febbraio,maschi_50_64_febbraio,maschi_65_79_febbraio,maschi_80_plus_febbraio,femmine_0_49_febbraio,femmine_50_64_febbraio,femmine_65_79_febbraio,femmine_80_plus_febbraio,maschi_0_49_marzo,maschi_50_64_marzo,maschi_65_79_marzo,maschi_80_plus_marzo,femmine_0_49_marzo,femmine_50_64_marzo,femmine_65_79_marzo,femmine_80_plus_marzo,maschi_0_49_aprile,maschi_50_64_aprile,maschi_65_79_aprile,maschi_80_plus_aprile,femmine_0_49_aprile,femmine_50_64_aprile,femmine_65_79_aprile,femmine_80_plus_aprile,maschi_0_49_maggio,maschi_50_64_maggio,maschi_65_79_maggio,maschi_80_plus_maggio,femmine_0_49_maggio,femmine_50_64_maggio,femmine_65_79_maggio,femmine_80_plus_maggio,maschi_0_49_giugno,maschi_50_64_giugno,maschi_65_79_giugno,maschi_80_plus_giugno,femmine_0_49_giugno,femmine_50_64_giugno,femmine_65_79_giugno,femmine_80_plus_giugno,maschi_0_49_luglio,maschi_50_64_luglio,maschi_65_79_luglio,maschi_80_plus_luglio,femmine_0_49_luglio,femmine_50_64_luglio,femmine_65_79_luglio,femmine_80_plus_luglio,maschi_0_49_agosto,maschi_50_64_agosto,maschi_65_79_agosto,maschi_80_plus_agosto,femmine_0_49_agosto,femmine_50_64_agosto,femmine_65_79_agosto,femmine_80_plus_agosto,maschi_0_49_settembre,maschi_50_64_settembre,maschi_65_79_settembre,maschi_80_plus_settembre,femmine_0_49_settembre,femmine_50_64_settembre,femmine_65_79_settembre,femmine_80_plus_settembre,maschi_0_49_ottobre,maschi_50_64_ottobre,maschi_65_79_ottobre,maschi_80_plus_ottobre,femmine_0_49_ottobre,femmine_50_64_ottobre,femmine_65_79_ottobre,femmine_80_plus_ottobre,maschi_0_49_novembre,maschi_50_64_novembre,maschi_65_79_novembre,maschi_80_plus_novembre,femmine_0_49_novembre,femmine_50_64_novembre,femmine_65_79_novembre,femmine_80_plus_novembre,maschi_0_49_dicembre,maschi_50_64_dicembre,maschi_65_79_dicembre,maschi_80_plus_dicembre,femmine_0_49_dicembre,femmine_50_64_dicembre,femmine_65_79_dicembre,femmine_80_plus_dicembre,anno
centro,257,620,1886,3381,152,364,1358,5170,213,546,1874,3397,143,361,1156,4913,214,573,1727,3304,116,374,1289,4933,202,519,1677,2900,101,327,1137,4361,211,498,1606,2661,108,292,1063,3914,224,489,1569,2522,118,295,958,3698,232,536,1619,3026,117,354,1176,4721,200,450,1532,2546,128,284,1004,3781,205,538,1498,2497,119,317,1006,3583,182,489,1533,2716,114,320,1060,3844,176,465,1544,2695,112,321,1040,3724,204,555,1627,2984,107,314,1118,4271,2015
isole,153,387,1083,1681,99,205,759,2455,127,341,1055,1732,71,193,761,2424,151,384,1091,1772,87,204,752,2562,140,316,925,1477,68,200,676,2130,138,305,898,1344,69,174,600,1862,134,311,874,1250,83,207,562,1787,139,288,892,1332,65,200,650,1994,141,301,940,1287,74,210,589,1894,141,360,805,1245,86,212,640,1825,117,307,831,1225,69,209,595,1729,120,287,826,1328,66,175,573,1700,113,355,920,1620,84,189,626,2212,2015
nord,547,1373,4519,7567,344,852,3155,12268,488,1259,4318,7341,271,731,2769,11467,485,1313,4397,7019,257,763,2889,11380,459,1188,3769,6041,270,730,2573,10061,413,1128,3514,5552,272,652,2362,8638,475,1147,3587,5469,233,652,2313,8649,538,1296,3939,6330,264,694,2655,10705,458,1077,3603,5606,260,682,2439,9097,452,1122,3590,5426,266,713,2310,8483,444,1201,3856,6086,269,705,2509,9305,402,1083,3621,5951,208,649,2362,8858,362,1225,3933,6550,240,699,2563,9871,2015
sud,321,845,2292,3603,200,525,1610,5343,293,693,2112,3255,154,463,1467,4789,289,675,2160,3365,164,471,1478,4943,271,655,1864,2990,171,416,1287,4317,293,686,1797,2631,156,396,1206,3728,283,649,1727,2453,135,362,1154,3593,315,723,1907,2956,155,378,1308,4597,272,625,1720,2678,180,361,1232,3894,285,633,1785,2425,153,346,1198,3597,256,666,1800,2608,160,386,1273,3672,265,644,1817,2800,144,359,1231,3855,248,646,1928,3133,129,388,1268,4166,2015
centro,192,487,1657,2947,140,317,1152,4276,162,504,1539,2850,120,319,1110,4121,201,539,1712,3035,112,322,1203,4441,188,540,1575,2910,119,296,1113,3975,211,515,1614,2750,120,304,1119,4009,193,477,1407,2419,115,298,1046,3532,201,467,1418,2508,106,280,997,3751,227,514,1502,2556,141,305,980,3687,183,459,1410,2396,136,288,922,3519,174,516,1588,2853,141,297,1079,4010,174,497,1559,2956,122,363,1086,4178,169,528,1678,3238,107,347,1156,4817,2016
isole,134,350,998,1600,94,240,696,2155,107,346,1004,1608,96,193,691,2207,114,318,1097,1686,83,202,719,2275,121,314,872,1376,69,154,623,1964,131,347,890,1336,68,173,609,1774,136,289,805,1258,84,193,569,1710,124,258,807,1169,79,165,543,1689,153,328,842,1298,82,192,581,1770,113,313,829,1219,74,204,548,1606,124,285,875,1250,69,195,581,1684,121,322,881,1355,71,179,616,1821,127,328,856,1589,61,179,625,2074,2016
nord,465,1221,3928,6409,255,752,2619,10091,416,1195,4003,6508,268,714,2619,10142,450,1224,4112,6527,246,669,2614,10328,380,1104,3645,5615,251,653,2341,8815,458,1212,3726,6183,287,643,2542,9062,472,1062,3542,5392,241,650,2236,8311,450,1120,3369,5377,246,619,2290,8269,423,1184,3669,5891,274,695,2379,8764,406,1152,3437,5544,243,609,2224,8309,406,1141,3727,6100,227,656,2392,8993,413,1137,3764,6311,280,680,2444,9546,375,1077,3946,6974,229,678,2464,10554,2016
sud,309,688,2039,3102,171,415,1412,4363,291,715,1880,2943,163,396,1291,4369,284,733,1957,3054,174,366,1304,4300,259,639,1889,2686,127,401,1245,3908,240,671,1764,2701,164,396,1208,3815,264,610,1705,2445,138,364,1082,3473,251,615,1651,2420,132,377,1087,3432,277,627,1705,2463,155,404,1126,3566,272,623,1665,2465,160,361,1059,3522,246,626,1798,2566,156,397,1210,3789,245,662,1778,2875,150,370,1268,3964,241,673,1968,3355,150,395,1315,4660,2016
centro,210,615,2148,4316,119,457,1490,6482,190,506,1697,3155,114,297,1099,4634,195,501,1715,3077,140,331,1178,4505,186,498,1491,2648,121,272,992,3844,197,525,1645,2877,122,338,1132,4244,193,478,1471,2752,111,317,990,3863,184,443,1389,2434,90,325,992,3729,190,528,1526,2917,114,291,1050,4712,185,489,1436,2583,118,326,1027,3571,192,497,1586,2875,128,315,1159,3997,179,484,1589,2988,114,302,1062,4058,160,470,1539,3109,97,256,1106,4321,2017
isole,122,377,1200,2088,84,212,846,2860,141,337,994,1746,60,204,703,2451,129,343,996,1747,79,215,735,2281,105,258,792,1303,63,161,602,1937,138,340,1012,1547,73,183,685,2014,129,285,863,1335,72,178,566,1768,147,327,832,1349,82,174,591,1885,148,319,962,1571,88,184,714,2337,130,301,840,1168,67,179,601,1659,126,319,895,1369,73,190,591,1790,112,324,954,1478,73,185,619,1870,107,324,903,1658,57,196,633,2271,2017
