stagione,macroarea,fascia_eta,correlazione,pvalue,significativo
inverno,centro,50_64,"0,503","0,1383",False
inverno,centro,65_79,"0,079","0,8287",False
inverno,centro,80_plus,"0,612","0,06",False
inverno,isole,50_64,"0,697","0,0251",True
inverno,isole,65_79,"0,758","0,0111",True
inverno,isole,80_plus,"0,661","0,0376",True
inverno,nord,50_64,"0,285","0,425",False
inverno,nord,65_79,"-0,091","0,8028",False
inverno,nord,80_plus,"0,673","0,033",True
inverno,sud,50_64,"0,406","0,2443",False
inverno,sud,65_79,"0,709","0,0217",True
inverno,sud,80_plus,"0,697","0,0251",True
primavera,centro,50_64,"-0,03","0,9338",False
primavera,centro,65_79,"-0,479","0,1615",False
primavera,centro,80_plus,"0,261","0,4671",False
primavera,centro,0_49,"-0,891","0,0005",True
primavera,isole,50_64,"0,382","0,2763",False
primavera,isole,65_79,"0,127","0,7261",False
primavera,isole,80_plus,"0,297","0,4047",False
primavera,isole,0_49,"-0,809","0,0046",True
primavera,nord,50_64,"-0,212","0,5563",False
primavera,nord,65_79,"-0,527","0,1173",False
primavera,nord,80_plus,"0,394","0,26",False
primavera,nord,0_49,"-0,879","0,0008",True
primavera,sud,50_64,"0,43","0,2145",False
primavera,sud,65_79,"0,176","0,6272",False
primavera,sud,80_plus,"0,345","0,3282",False
primavera,sud,0_49,"-0,83","0,0029",True
estate,centro,50_64,"0,576","0,0816",False
estate,centro,65_79,"0,333","0,3466",False
estate,centro,80_plus,"0,879","0,0008",True
estate,centro,0_49,"-0,867","0,0012",True
estate,isole,50_64,"0,758","0,0111",True
estate,isole,65_79,"0,673","0,033",True
estate,isole,80_plus,"0,77","0,0092",True
estate,isole,0_49,"-0,663","0,0368",True
estate,nord,50_64,"0,225","0,5321",False
estate,nord,65_79,"-0,733","0,0158",True
estate,nord,80_plus,"0,673","0,033",True
estate,nord,0_49,"-0,915","0,0002",True
estate,sud,50_64,"0,721","0,0186",True
estate,sud,65_79,"0,673","0,033",True
estate,sud,80_plus,"0,77","0,0092",True
estate,sud,0_49,"-0,796","0,0058",True
autunno,centro,50_64,"0,188","0,6032",False
autunno,centro,65_79,"-0,333","0,3466",False
autunno,centro,80_plus,"0,745","0,0133",True
autunno,centro,0_49,"-0,745","0,0133",True
autunno,isole,50_64,"0,049","0,8939",False
autunno,isole,65_79,"0,539","0,1076",False
autunno,isole,80_plus,"0,721","0,0186",True
autunno,isole,0_49,"-0,891","0,0005",True
autunno,nord,50_64,"0,661","0,0376",True
autunno,nord,65_79,"-0,394","0,26",False
autunno,nord,80_plus,"0,842","0,0022",True
autunno,nord,0_49,"-0,952","0,0",True
autunno,sud,50_64,"0,406","0,2443",False
autunno,sud,65_79,"0,552","0,0984",False
autunno,sud,80_plus,"0,648","0,0425",True
autunno,sud,0_49,"-0,782","0,0075",True
